2011 super output area - lower layer,mnemonic,21 : Manufacture of basic pharmaceutical products and pharmaceutical preparations,,"26 : Manufacture of computer, electronic and optical products"
Haringey 034D,E01002062,0,,0
Haringey 035A,E01002005,0,,0
Haringey 035B,E01002006,0,,0
Haringey 035C,E01002007,0,,0
Haringey 035D,E01002009,0,,0
Haringey 036A,E01002061,0,,0
Haringey 036B,E01002063,0,,0
Haringey 036C,E01002064,0,,0
Haringey 036D,E01002065,0,,0
Haringey 037A,E01002034,0,,0
Haringey 037B,E01002038,0,,0
Haringey 037C,E01002041,0,,0
Haringey 037D,E01032575,0,,0
Islington 001A,E01002755,0,,0
Islington 001B,E01002756,0,,0
Islington 001C,E01002758,0,,0
Islington 001D,E01002804,0,,0
Islington 001E,E01002807,0,,0
Islington 001F,E01002811,0,,0
Islington 002A,E01002753,0,,0
Islington 002B,E01002754,0,,0
Islington 002C,E01002757,0,,0
Islington 002D,E01002759,0,,0
Islington 002E,E01002760,0,,0
Islington 002F,E01002772,0,,0
Islington 003A,E01002735,0,,0
Islington 003B,E01002805,0,,0
Islington 003C,E01002806,0,,0
Islington 003D,E01002808,0,,0
Islington 003E,E01002809,0,,0
Islington 003F,E01002810,0,,0
Islington 004A,E01002768,0,,0
Islington 004B,E01002770,0,,0
Islington 004C,E01002771,0,,0
Islington 004D,E01002773,0,,0
Islington 004E,E01002774,0,,0
Islington 005A,E01002732,0,,0
Islington 005B,E01002734,0,,0
Islington 005C,E01002736,0,,0
Islington 005D,E01002737,0,,0
Islington 005E,E01002751,0,,0
Islington 006A,E01002742,0,,0
Islington 006B,E01002747,0,,0
Islington 006C,E01002748,0,,0
Islington 006D,E01002749,0,,0
Islington 006F,E01033493,0,,0
Islington 006G,E01033494,0,,0
Islington 007A,E01002730,0,,0
Islington 007B,E01002731,0,,0
Islington 007C,E01002733,0,,0
Islington 007D,E01002763,0,,0
Islington 008A,E01002769,0,,0
Islington 008B,E01002785,0,,0
Islington 008C,E01002788,0,,0
Islington 008D,E01002789,0,,0
Islington 009A,E01002738,0,,0
Islington 009B,E01002741,0,,0
Islington 009C,E01002743,0,,0
Islington 009D,E01002744,0,,0
Islington 009E,E01002752,0,,0
Islington 010A,E01002764,0,,0
Islington 010B,E01002783,0,,0
Islington 010C,E01002784,0,,0
Islington 010D,E01002786,0,,0
Islington 010E,E01002787,0,,0
Islington 011C,E01002762,0,,0
Islington 011D,E01002767,0,,0
Islington 011E,E01033486,0,,0
Islington 011F,E01033487,0,,0
Islington 011G,E01033488,0,,0
Islington 011H,E01033491,0,,0
Islington 011I,E01033492,0,,0
Islington 012A,E01002777,0,,0
Islington 012B,E01002778,0,,0
Islington 012C,E01002779,0,,0
Islington 012D,E01002781,0,,0
Islington 012E,E01002782,0,,0
Islington 013A,E01002739,0,,0
Islington 013B,E01002740,0,,0
Islington 013C,E01002745,0,,0
Islington 013D,E01002795,5,,0
Islington 013E,E01002796,0,,0
Islington 014A,E01002716,0,,0
Islington 014B,E01002718,0,,0
Islington 014C,E01002721,0,,0
Islington 014D,E01002775,0,,0
Islington 014E,E01002776,0,,10
Islington 014F,E01002780,0,,0
Islington 015A,E01002708,0,,0
Islington 015B,E01002712,0,,0
Islington 015C,E01002713,0,,0
Islington 015D,E01002765,0,,0
Islington 015E,E01002766,0,,0
Islington 016A,E01002717,0,,0
Islington 016B,E01002719,0,,5
Islington 016C,E01002720,0,,0
Islington 016D,E01002790,0,,0
Islington 016E,E01002791,0,,0
Islington 016F,E01002793,0,,0
Islington 017A,E01002698,0,,0
Islington 017B,E01002699,0,,0
Islington 017C,E01002700,0,,0
Islington 017D,E01002714,0,,0
Islington 017E,E01002792,0,,0
Islington 018A,E01002722,0,,0
Islington 018B,E01002797,0,,0
Islington 018C,E01002798,0,,0
Islington 018D,E01002799,0,,0
Islington 018E,E01002800,0,,0
Islington 019A,E01002694,0,,0
Islington 019B,E01002697,0,,0
Islington 019C,E01002709,0,,0
Islington 019D,E01002710,0,,0
Islington 019E,E01002715,0,,0
Islington 020A,E01002696,0,,0
Islington 020B,E01002794,0,,0
Islington 020C,E01002801,0,,0
Islington 020D,E01002802,0,,0
Islington 020E,E01002803,5,,0
Islington 021A,E01002695,0,,0
Islington 021B,E01002711,0,,5
Islington 021C,E01002727,0,,0
Islington 021D,E01002728,0,,0
Islington 021E,E01002729,0,,0
Islington 022B,E01002707,0,,0
Islington 022C,E01002723,0,,0
Islington 022D,E01002724,0,,15
Islington 022E,E01002725,0,,0
Islington 022F,E01002726,0,,15
Islington 022G,E01033489,0,,0
Islington 022H,E01033490,0,,0
Islington 023A,E01002701,0,,50
Islington 023B,E01002702,0,,0
Islington 023C,E01002703,0,,0
Islington 023D,E01002704,0,,5
Islington 023E,E01002706,0,,5
Kensington and Chelsea 001A,E01002852,0,,5
Kensington and Chelsea 001B,E01002853,0,,0
Kensington and Chelsea 001C,E01002854,0,,75
Kensington and Chelsea 001D,E01002855,0,,0
Kensington and Chelsea 001E,E01002857,0,,0
Kensington and Chelsea 002A,E01002904,0,,0
Kensington and Chelsea 002B,E01002905,0,,0
Kensington and Chelsea 002C,E01002906,0,,0
Kensington and Chelsea 002D,E01002907,0,,0
Kensington and Chelsea 003A,E01002876,0,,0
Kensington and Chelsea 003B,E01002877,0,,0
Kensington and Chelsea 003C,E01002878,0,,0
Kensington and Chelsea 003D,E01002908,0,,0
Kensington and Chelsea 003E,E01002909,0,,0
Kensington and Chelsea 004A,E01002829,0,,0
Kensington and Chelsea 004B,E01002830,0,,0
Kensington and Chelsea 004C,E01002831,0,,0
Kensington and Chelsea 004D,E01002832,0,,0
Kensington and Chelsea 004E,E01002856,0,,0
Kensington and Chelsea 005A,E01002870,0,,0
Kensington and Chelsea 005B,E01002872,0,,5
Kensington and Chelsea 005C,E01002879,0,,0
Kensington and Chelsea 005D,E01002880,0,,0
Kensington and Chelsea 005E,E01002881,0,,0
Kensington and Chelsea 006A,E01002882,0,,0
Kensington and Chelsea 006B,E01002883,0,,0
Kensington and Chelsea 006C,E01002884,0,,0
Kensington and Chelsea 006D,E01002885,0,,0
Kensington and Chelsea 006E,E01002886,0,,0
Kensington and Chelsea 007A,E01002833,0,,0
Kensington and Chelsea 007B,E01002871,0,,0
Kensington and Chelsea 007C,E01002873,0,,0
Kensington and Chelsea 007D,E01002874,0,,0
Kensington and Chelsea 007E,E01002875,0,,0
Kensington and Chelsea 008A,E01002824,0,,0
Kensington and Chelsea 008B,E01002825,0,,5
Kensington and Chelsea 008C,E01002826,0,,0
Kensington and Chelsea 008D,E01002827,0,,10
Kensington and Chelsea 008E,E01002828,0,,0
Kensington and Chelsea 009A,E01002864,0,,0
Kensington and Chelsea 009B,E01002866,0,,0
Kensington and Chelsea 009C,E01002867,0,,0
Kensington and Chelsea 009D,E01002868,0,,0
Kensington and Chelsea 009E,E01002869,0,,0
Kensington and Chelsea 010A,E01002887,0,,0
